id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
1,Joel Embiid,Philadelphia 76ers,C,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,11.6,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,2.9,34.7,47,35,3.05,116.9,113.8,3.1,0.574,203.9,0.573170731707317,1,0.13414634146341464,0.19830380746181175
2,Luka Doncic,Dallas Mavericks,PG,70,37.5,11.5,23.6,0.487,4.1,10.6,0.382,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,33.9,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.1121951219512195,0.2350439652465194
3,Giannis Antetokounmpo,Milwaukee Bucks,PF,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,49,33,2.62,118.4,115.8,2.6,0.601,152.8,0.5975609756097561,1,0.1402439024390244,0.24240997318350144
4,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,75,34.0,10.6,19.8,0.535,1.3,3.6,0.353,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.06707317073170732,0.24004668759558886
5,Jalen Brunson,New York Knicks,PG,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.04390243902439025,0.18326733422453148
6,Devin Booker,Phoenix Suns,PG,68,36.0,9.4,19.2,0.492,2.2,6.1,0.364,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,49,33,3.06,117.6,114.6,3.0,0.603,164.5,0.5975609756097561,1,0.054878048780487805,0.20702053525094521
7,Kevin Durant,Phoenix Suns,PF,75,37.2,10.0,19.1,0.523,2.2,5.4,0.413,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,49,33,3.06,117.6,114.6,3.0,0.603,164.5,0.5975609756097561,1,0.08048780487804878,0.19562606568314922
8,Jayson Tatum,Boston Celtics,PF,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,26.9,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.09878048780487804,0.19690605239385725
9,De'Aaron Fox,Sacramento Kings,PG,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6,46,36,1.74,116.9,115.2,1.7,0.582,142.7,0.5609756097560976,1,0.05609756097560975,0.22604132838805616
10,Donovan Mitchell,Cleveland Cavaliers,SG,55,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.062195121951219505,0.20476371951219513
