team_A,team_B,team_A_win_percentage,team_A_points_per_game,team_A_assists_per_game,team_A_rebounds_per_game,team_A_top_player_points,team_B_win_percentage,team_B_points_per_game,team_B_assists_per_game,team_B_rebounds_per_game,team_B_top_player_points,match_outcome
Boston Celtics,Oklahoma City Thunder,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,1
Oklahoma City Thunder,Boston Celtics,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Minnesota Timberwolves,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,1
Minnesota Timberwolves,Boston Celtics,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Denver Nuggets,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.6951219512195121,8.041176470588235,2.0823529411764703,0.053260308128585676,26.4,1
Denver Nuggets,Boston Celtics,0.6951219512195121,8.041176470588235,2.0823529411764703,0.053260308128585676,26.4,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,New York Knicks,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.6097560975609756,7.438461538461539,1.4692307692307693,0.10607225206359261,28.7,1
New York Knicks,Boston Celtics,0.6097560975609756,7.438461538461539,1.4692307692307693,0.10607225206359261,28.7,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,New Orleans Pelicans,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.5975609756097561,7.75,1.795,0.21184419864332046,22.9,1
New Orleans Pelicans,Boston Celtics,0.5975609756097561,7.75,1.795,0.21184419864332046,22.9,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Los Angeles Clippers,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.6219512195121951,7.647619047619047,1.8095238095238095,0.18931934342032375,23.7,1
